iter	Passed	Remaining
0	17	17796
1	35	17488
2	52	17556
3	72	18007
4	91	18161
5	112	18693
6	132	18762
7	149	18516
8	170	18788
9	189	18790
10	209	18799
11	227	18769
12	250	19034
13	268	18878
14	288	18947
15	306	18866
16	324	18756
17	341	18605
18	361	18670
19	380	18652
20	403	18823
21	422	18761
22	444	18866
23	462	18826
24	480	18755
25	498	18662
26	517	18649
27	536	18631
28	555	18583
29	575	18598
30	592	18532
31	610	18468
32	628	18412
33	648	18416
34	664	18309
35	679	18203
36	697	18164
37	720	18236
38	741	18278
39	762	18301
40	783	18317
41	800	18260
42	822	18304
43	844	18338
44	860	18269
45	882	18293
46	900	18253
47	917	18197
48	938	18204
49	954	18143
50	972	18098
51	991	18071
52	1013	18112
53	1035	18144
54	1051	18070
55	1068	18012
56	1088	18015
57	1110	18030
58	1126	17961
59	1142	17900
60	1177	18128
61	1195	18089
62	1233	18343
63	1253	18325
64	1288	18535
65	1307	18497
66	1327	18488
67	1348	18485
68	1368	18458
69	1389	18458
70	1408	18427
71	1429	18420
72	1450	18421
73	1472	18422
74	1493	18416
75	1511	18379
76	1530	18348
77	1549	18316
78	1570	18311
79	1589	18281
80	1609	18265
81	1627	18225
82	1648	18213
83	1669	18210
84	1691	18212
85	1708	18159
86	1730	18160
87	1748	18120
88	1768	18106
89	1790	18099
90	1811	18090
91	1828	18048
92	1847	18019
93	1867	17999
94	1886	17968
95	1903	17920
96	1919	17869
97	1936	17827
98	1958	17822
99	1980	17821
100	1998	17786
101	2015	17744
102	2033	17708
103	2055	17710
104	2074	17683
105	2094	17661
106	2111	17625
107	2133	17620
108	2154	17613
109	2176	17606
110	2193	17567
111	2211	17536
112	2230	17505
113	2251	17496
114	2268	17456
115	2287	17430
116	2307	17410
117	2326	17392
118	2346	17372
119	2366	17352
120	2388	17349
121	2407	17323
122	2425	17290
123	2446	17280
124	2467	17270
125	2484	17236
126	2501	17196
127	2520	17173
128	2542	17168
129	2560	17138
130	2581	17125
131	2603	17117
132	2624	17111
133	2642	17080
134	2663	17066
135	2679	17025
136	2697	16990
137	2716	16966
138	2735	16943
139	2752	16908
140	2772	16893
141	2794	16884
142	2814	16869
143	2834	16846
144	2856	16843
145	2874	16811
146	2891	16779
147	2910	16754
148	2928	16727
149	2946	16694
150	2967	16685
151	2984	16648
152	3006	16643
153	3029	16641
154	3050	16630
155	3068	16598
156	3090	16593
157	3108	16563
158	3126	16536
159	3148	16530
160	3166	16501
161	3184	16470
162	3206	16463
163	3224	16439
164	3242	16409
165	3259	16377
166	3282	16372
167	3304	16364
168	3322	16335
169	3338	16301
170	3356	16273
171	3374	16245
172	3396	16235
173	3415	16213
174	3435	16197
175	3454	16173
176	3473	16153
177	3494	16138
178	3514	16119
179	3532	16093
180	3552	16072
181	3569	16045
182	3588	16021
183	3605	15989
184	3625	15973
185	3648	15966
186	3665	15937
187	3683	15909
188	3702	15886
189	3723	15874
190	3742	15853
191	3763	15839
192	3781	15811
193	3800	15788
194	3821	15774
195	3841	15758
196	3860	15737
197	3878	15708
198	3898	15690
199	3916	15665
200	3933	15635
201	3955	15624
202	3976	15610
203	3997	15597
204	4013	15566
205	4034	15548
206	4051	15520
207	4069	15496
208	4089	15479
209	4109	15460
210	4131	15449
211	4153	15436
212	4173	15419
213	4194	15405
214	4219	15407
215	4244	15406
216	4262	15381
217	4286	15376
218	4305	15355
219	4323	15329
220	4344	15312
221	4365	15300
222	4386	15283
223	4408	15272
224	4423	15237
225	4445	15224
226	4464	15201
227	4484	15185
228	4503	15163
229	4521	15138
230	4538	15109
231	4558	15088
232	4578	15070
233	4595	15042
234	4615	15024
235	4641	15024
236	4661	15008
237	4684	14997
238	4705	14984
239	4732	14985
240	4750	14960
241	4776	14961
242	4806	14973
243	4825	14950
244	4846	14933
245	4864	14910
246	4886	14896
247	4905	14875
248	4926	14857
249	4943	14831
250	4961	14805
251	4982	14789
252	5003	14772
253	5020	14744
254	5038	14721
255	5056	14696
256	5078	14683
257	5099	14666
258	5122	14654
259	5142	14636
260	5164	14621
