iter	Logloss
0	0.4876886478
1	0.4591126603
2	0.4495359265
3	0.4360967351
4	0.429310063
5	0.4246510122
6	0.4202033502
7	0.4180093697
8	0.409221243
9	0.4076428326
10	0.4049964609
11	0.4037237556
12	0.4025929749
13	0.4013092995
14	0.4001890968
15	0.3987280615
16	0.3976063463
17	0.3967772648
18	0.3958013214
19	0.3945717126
20	0.3937158044
21	0.3930015165
22	0.3925833794
23	0.3917594892
24	0.3911090577
25	0.3906375733
26	0.3900497233
27	0.3895465519
28	0.3890115509
29	0.3885667969
30	0.3877645308
31	0.3871300529
32	0.3864904268
33	0.3860159145
34	0.3854920385
35	0.384927711
36	0.3842011186
37	0.3837695893
38	0.383089233
39	0.382763257
40	0.3823010901
41	0.3819405325
42	0.3814636539
43	0.3812001067
44	0.3807976537
45	0.3802548181
46	0.3797473042
47	0.3794369439
48	0.3790823269
49	0.3787941682
50	0.3783585701
51	0.3782525632
52	0.3780240536
53	0.3777104474
54	0.377444362
55	0.3764184799
56	0.3761785927
57	0.3758984505
58	0.3755889348
59	0.3755078241
60	0.3753137106
61	0.3751018322
62	0.3747500484
63	0.3744130033
64	0.3741628794
65	0.3739488595
66	0.373234559
67	0.3729534472
68	0.3727651214
69	0.3726108538
70	0.3725487596
71	0.37232302
72	0.3720788001
73	0.3717942795
74	0.3715684874
75	0.3713712989
76	0.3711990042
77	0.3710654974
78	0.3709316637
79	0.3707200476
80	0.3704963073
81	0.3703569582
82	0.370224082
83	0.3700335603
84	0.3696808637
85	0.3694321464
86	0.3692935464
87	0.3692436534
88	0.3690764831
89	0.3689070584
90	0.3687000084
91	0.3684462497
92	0.3682274471
93	0.3680108608
94	0.3677879305
95	0.367684308
96	0.3674826676
97	0.3672906658
98	0.3670807371
99	0.3668847903
100	0.3666879589
101	0.3661816327
102	0.3659995011
103	0.3658700865
104	0.3657272611
105	0.365468626
106	0.3652600633
107	0.3651232293
108	0.3650218385
109	0.3647341943
110	0.3645719244
111	0.3644253432
112	0.3642511102
113	0.3640891206
114	0.3638378167
115	0.3637176986
116	0.3636188007
117	0.3634500319
118	0.3633984272
119	0.3633517542
120	0.3632542359
121	0.3630637523
122	0.3630468827
123	0.3629108619
124	0.3627780042
125	0.3626820157
126	0.362544237
127	0.3623983162
128	0.3622749052
129	0.36212751
130	0.3620080724
131	0.3618491056
132	0.3616650926
133	0.3613767024
134	0.3612335806
135	0.3611342795
136	0.3610251634
137	0.3610205326
138	0.3608769428
139	0.3607188291
140	0.3606249889
141	0.3604214121
142	0.3602466706
143	0.36011903
144	0.3599789829
145	0.3597735812
146	0.3596996678
147	0.3595553065
148	0.3594228072
149	0.359397954
150	0.3593912757
151	0.3592215588
152	0.3591142983
153	0.3589166098
154	0.3587188131
155	0.3585626015
156	0.3584271282
157	0.3583366946
158	0.3582138285
159	0.3580459251
160	0.3579389501
161	0.3578552386
162	0.357728101
163	0.3576102232
164	0.3573756405
165	0.3572035111
166	0.357190312
167	0.3570982523
168	0.3569825095
169	0.3568210618
170	0.3567305324
171	0.3566105889
172	0.3564919193
173	0.3564256644
174	0.3563520138
175	0.3562005429
176	0.3561872818
177	0.3560916464
178	0.3560113209
179	0.3557966169
180	0.3557873105
181	0.35573101
182	0.3556277556
183	0.3554944459
184	0.355324076
185	0.3551805108
186	0.3550541325
187	0.355023546
188	0.3549226405
189	0.3547998295
190	0.3546525134
191	0.3545166138
192	0.3544101427
193	0.3543486539
194	0.3542255199
195	0.3537228511
196	0.3536365267
197	0.3535070784
198	0.3533499116
199	0.3531668467
200	0.3530082686
201	0.3528613905
202	0.3526946771
203	0.3525934468
204	0.3525231441
205	0.352410125
206	0.3523200524
207	0.3521787747
208	0.3520892999
209	0.3520675456
210	0.3519712713
211	0.3519541899
212	0.3518610979
213	0.3517257529
214	0.3516337805
215	0.3515124148
216	0.3514248411
217	0.3513233999
218	0.3511562791
