iter	Logloss
0	0.5020085624
1	0.4653099731
2	0.4502847004
3	0.4395989932
4	0.4279210452
5	0.4165067529
6	0.4117756543
7	0.4093134651
8	0.4074219476
9	0.4054973563
10	0.4045487682
11	0.4026153021
12	0.4017985384
13	0.4002452486
14	0.3993561694
15	0.3985569184
16	0.3972464598
17	0.3965324899
18	0.3956424836
19	0.3949329243
20	0.3943102521
21	0.393704736
22	0.3930954924
23	0.390851643
24	0.3901182236
25	0.3894489519
26	0.3889174674
27	0.3885078362
28	0.3879943583
29	0.3876735108
30	0.3869716362
31	0.3864211333
32	0.3857769641
33	0.3851304337
34	0.3845658563
35	0.3840314104
36	0.3835961329
37	0.3831942125
38	0.3828836991
39	0.3826774468
40	0.3824954639
41	0.3822530614
42	0.381916284
43	0.3816400055
44	0.3810837689
45	0.3808483208
46	0.3802583854
47	0.3798924022
48	0.3798093393
49	0.3796575028
50	0.3793734353
51	0.3791096073
52	0.3787881779
53	0.3787455557
54	0.3784908534
55	0.3781556903
56	0.3781160363
57	0.3779349985
58	0.3775597239
59	0.3772216264
60	0.3769147719
61	0.3764877428
62	0.3761265352
63	0.3759528307
64	0.3756341217
65	0.375285067
66	0.3750191759
67	0.3748479439
68	0.3744468794
69	0.3742111388
70	0.3739939155
71	0.3737830311
72	0.3737449266
73	0.3735904777
74	0.3734815304
75	0.3732519911
76	0.3730734043
77	0.3728641011
78	0.3725652006
79	0.3724072956
80	0.37221158
81	0.3719229111
82	0.3716939639
83	0.3715379645
84	0.3714412682
85	0.3712213754
86	0.3710616013
87	0.3708710579
88	0.3707776088
89	0.3706375225
90	0.3704617802
91	0.3702834829
92	0.3701475334
93	0.3698536096
94	0.3696665269
95	0.3694221529
96	0.3692411934
97	0.3689412044
98	0.3689168793
99	0.3688599686
100	0.3687308217
101	0.3685721114
102	0.3684395774
103	0.3683047244
104	0.3681576452
105	0.3680289956
106	0.3678872343
107	0.3677691666
108	0.3677089117
109	0.3676119104
110	0.3674501201
111	0.367224814
112	0.3670892099
113	0.3669782323
114	0.3667864245
115	0.3665895896
116	0.3664107541
