iter	Passed	Remaining
404	9191	13503
405	9211	13476
406	9229	13447
407	9249	13421
408	9268	13392
409	9291	13370
410	9310	13343
411	9332	13318
412	9349	13288
413	9369	13262
414	9392	13240
415	9413	13215
416	9431	13185
417	9454	13164
418	9473	13136
419	9493	13110
420	9511	13080
421	9530	13053
422	9549	13025
423	9567	12997
424	9584	12967
425	9604	12940
426	9654	12956
427	9778	13068
428	9821	13072
429	9878	13094
430	9937	13119
431	9961	13097
432	9983	13073
433	10008	13052
434	10025	13022
435	10047	12996
436	10064	12966
437	10086	12941
438	10108	12917
439	10124	12886
440	10146	12861
441	10163	12831
442	10181	12802
443	10207	12781
444	10226	12754
445	10246	12727
446	10266	12701
447	10284	12671
448	10304	12645
449	10322	12616
450	10339	12586
451	10358	12559
452	10377	12530
453	10398	12505
454	10420	12481
455	10438	12452
456	10457	12425
457	10479	12401
458	10496	12371
459	10518	12347
460	10541	12325
461	10620	12368
462	10657	12361
463	10682	12339
464	10703	12314
465	10724	12289
466	10749	12268
467	10771	12244
468	10793	12219
469	10812	12192
470	10836	12170
471	10855	12143
472	10878	12120
473	10900	12096
474	10921	12071
475	10942	12046
476	10963	12020
477	10984	11995
478	11002	11967
479	11023	11941
480	11044	11916
481	11065	11891
482	11083	11863
483	11105	11839
484	11124	11812
485	11144	11786
486	11163	11759
487	11185	11735
488	11206	11711
489	11225	11683
490	11247	11659
491	11268	11634
492	11288	11608
493	11309	11584
494	11331	11560
495	11353	11536
496	11375	11512
497	11396	11487
498	11413	11458
499	11431	11431
500	11449	11403
501	11466	11375
502	11484	11347
503	11503	11320
504	11520	11292
505	11537	11263
506	11555	11236
507	11576	11212
508	11599	11189
509	11615	11159
510	11632	11131
511	11652	11106
512	11675	11083
513	11719	11080
514	11752	11067
515	11770	11040
516	11789	11014
517	11811	10990
518	11832	10965
519	11852	10940
520	11871	10914
521	11894	10891
522	11916	10868
523	11939	10845
524	11960	10821
525	11979	10795
526	11999	10770
527	12016	10742
528	12035	10715
529	12053	10688
530	12076	10666
531	12095	10640
532	12113	10613
533	12135	10590
534	12156	10565
535	12173	10538
536	12195	10514
537	12212	10487
538	12232	10461
539	12248	10434
540	12266	10407
541	12286	10382
542	12304	10356
543	12323	10329
544	12342	10304
545	12362	10279
546	12380	10252
547	12402	10229
548	12420	10203
549	12439	10177
550	12457	10151
551	12478	10127
552	12501	10105
553	12522	10081
554	12540	10055
555	12564	10033
556	12588	10012
557	12610	9989
558	12631	9964
559	12651	9940
560	12668	9913
561	12690	9890
562	12708	9864
563	12725	9837
564	12747	9814
565	12766	9789
566	12783	9762
567	12809	9742
568	12837	9724
569	12858	9700
570	12877	9675
571	12898	9651
572	12920	9628
573	12940	9604
574	12962	9581
575	12983	9557
576	13000	9530
577	13019	9505
578	13037	9479
579	13059	9456
580	13081	9434
581	13101	9409
582	13121	9385
583	13140	9360
584	13161	9336
585	13182	9313
586	13205	9290
587	13223	9265
588	13244	9241
589	13262	9216
590	13283	9192
591	13305	9170
592	13323	9144
593	13346	9122
594	13366	9097
595	13383	9072
596	13402	9047
597	13423	9023
598	13444	9000
599	13463	8975
600	13480	8949
601	13498	8924
602	13516	8898
603	13537	8875
604	13554	8849
605	13572	8824
606	13594	8802
607	13617	8779
608	13635	8754
609	13653	8729
610	13672	8704
611	13694	8682
612	13718	8660
613	13738	8637
614	13758	8613
615	13778	8588
616	13797	8565
617	13819	8542
618	13837	8517
619	13857	8493
620	13879	8470
621	13895	8444
622	13914	8419
623	13932	8395
624	13954	8372
625	13977	8350
626	13995	8325
627	14013	8300
628	14033	8277
629	14052	8253
630	14070	8228
631	14092	8205
632	14111	8181
633	14129	8156
634	14148	8132
635	14167	8108
636	14185	8083
637	14205	8060
638	14227	8037
639	14248	8014
640	14265	7989
641	14283	7965
642	14305	7942
643	14325	7919
644	14345	7895
645	14367	7872
646	14386	7849
647	14408	7826
648	14426	7802
649	14444	7777
650	14466	7755
651	14488	7732
652	14505	7708
653	14523	7683
654	14540	7658
655	14559	7635
656	14581	7612
657	14601	7589
658	14620	7565
659	14642	7543
660	14660	7518
661	14825	7569
662	14885	7566
663	14935	7557
664	14975	7543
665	14995	7520
666	15027	7502
667	15048	7479
668	15078	7460
669	15100	7437
670	15125	7416
671	15143	7391
672	15170	7371
673	15189	7346
674	15207	7321
675	15226	7298
676	15245	7273
677	15264	7249
678	15281	7224
679	15301	7200
680	15319	7176
681	15337	7151
682	15353	7125
683	15373	7102
684	15390	7077
685	15408	7052
686	15428	7029
687	15458	7010
688	15476	6985
689	15493	6960
690	15514	6937
691	15534	6914
692	15556	6891
693	15574	6866
694	15594	6843
695	15616	6820
696	15634	6796
697	15656	6773
698	15674	6749
699	15696	6727
700	15716	6703
701	15735	6679
702	15754	6655
703	15775	6632
704	15792	6608
705	15813	6585
706	15834	6562
707	15851	6537
708	15869	6513
709	15886	6488
710	15904	6464
711	15921	6440
712	15954	6422
713	15997	6408
714	16021	6386
715	16039	6362
716	16061	6339
717	16080	6315
718	16100	6292
719	16122	6269
720	16138	6245
721	16159	6221
722	16177	6198
723	16198	6175
724	16220	6152
725	16239	6129
726	16260	6105
727	16280	6082
728	16301	6060
729	16324	6037
730	16345	6015
731	16365	5991
732	16382	5967
733	16399	5943
734	16417	5919
735	16438	5896
736	16457	5872
737	16475	5849
738	16496	5826
739	16513	5802
740	16531	5778
741	16548	5753
742	16565	5729
743	16582	5705
744	16599	5681
745	16619	5658
746	16639	5635
747	16657	5611
748	16675	5588
749	16697	5565
750	16715	5542
751	16733	5518
752	16755	5496
753	16777	5473
754	16796	5450
755	16823	5429
756	16841	5406
757	16857	5381
758	16877	5359
759	16897	5336
760	16915	5312
761	16936	5289
762	16957	5267
763	16976	5243
764	17000	5222
765	17024	5200
766	17045	5178
767	17070	5156
768	17092	5134
769	17118	5113
770	17144	5092
771	17165	5069
772	17186	5047
773	17209	5024
774	17231	5002
775	17254	4980
776	17376	4986
777	17426	4972
778	17462	4954
779	17485	4931
780	17515	4911
781	17535	4888
782	17555	4865
783	17577	4842
784	17601	4820
785	17619	4797
786	17646	4776
787	17662	4751
788	17687	4730
789	17708	4707
790	17729	4684
791	17752	4662
792	17770	4638
793	17795	4617
794	17813	4593
795	17835	4570
796	17854	4547
797	17874	4524
798	17894	4501
799	17915	4478
800	17939	4456
801	17962	4434
802	17989	4413
803	18012	4391
804	18033	4368
805	18066	4348
806	18086	4325
807	18105	4302
808	18124	4279
809	18143	4255
810	18164	4233
811	18183	4209
812	18201	4186
813	18220	4163
814	18242	4141
815	18262	4118
816	18293	4097
817	18316	4075
818	18334	4052
819	18354	4029
820	18379	4007
821	18398	3984
822	18422	3962
823	18443	3939
824	18461	3916
825	18481	3893
826	18499	3870
827	18520	3847
828	18541	3824
829	18560	3801
830	18582	3779
831	18600	3755
832	18618	3732
833	18645	3711
834	18667	3688
835	18691	3666
836	18712	3644
837	18732	3621
838	18752	3598
839	18772	3575
840	18792	3552
841	18814	3530
842	18836	3508
843	18855	3485
844	18884	3463
845	18907	3441
846	18929	3419
847	18970	3400
848	18989	3377
849	19012	3355
850	19038	3333
851	19063	3311
852	19084	3288
853	19101	3265
854	19124	3243
855	19145	3220
856	19178	3200
857	19203	3178
858	19223	3155
859	19241	3132
860	19263	3109
861	19291	3088
862	19312	3065
863	19329	3042
864	19352	3020
865	19375	2998
866	19394	2975
867	19416	2952
868	19434	2929
869	19455	2907
870	19475	2884
871	19498	2862
872	19517	2839
873	19545	2817
874	19575	2796
875	19595	2773
876	19615	2751
877	19636	2728
878	19655	2705
879	19677	2683
880	19698	2660
881	19726	2639
882	19747	2616
883	19768	2594
884	19789	2571
885	19808	2548
886	19829	2526
887	19849	2503
888	19934	2488
889	19987	2470
890	20038	2451
891	20072	2430
892	20100	2408
893	20136	2387
894	20156	2364
895	20183	2342
896	20209	2320
897	20239	2298
898	20260	2276
899	20282	2253
900	20310	2231
901	20337	2209
902	20368	2187
903	20385	2164
904	20420	2143
905	20438	2120
906	20460	2097
907	20489	2076
908	20516	2053
909	20540	2031
910	20572	2009
911	20599	1987
912	20623	1965
913	20650	1943
914	20673	1920
915	20692	1897
916	20712	1874
917	20730	1851
918	20754	1829
919	20776	1806
920	20794	1783
921	20819	1761
922	20842	1738
923	20863	1716
924	20881	1693
925	20900	1670
926	20925	1647
927	20947	1625
928	20969	1602
929	20990	1579
930	21016	1557
931	21032	1534
932	21052	1511
933	21073	1489
934	21089	1466
935	21110	1443
936	21127	1420
937	21149	1397
938	21172	1375
939	21192	1352
940	21211	1329
941	21233	1307
942	21252	1284
943	21272	1261
944	21290	1239
945	21313	1216
946	21333	1193
947	21353	1171
948	21372	1148
949	21391	1125
950	21418	1103
951	21437	1080
952	21461	1058
953	21482	1035
954	21507	1013
955	21528	990
956	21551	968
957	21570	945
958	21594	923
959	21614	900
960	21633	877
961	21660	855
962	21679	832
963	21704	810
964	21723	787
965	21741	765
966	21765	742
967	21784	720
968	21809	697
969	21828	675
970	21849	652
971	21868	629
972	21888	607
973	21913	584
974	21932	562
975	21953	539
976	21971	517
977	21994	494
978	22012	472
979	22035	449
980	22057	427
981	22078	404
982	22105	382
983	22128	359
984	22155	337
985	22173	314
986	22195	292
987	22215	269
988	22240	247
989	22259	224
990	22281	202
991	22302	179
992	22320	157
993	22339	134
994	22360	112
995	22385	89
996	22408	67
997	22426	44
998	22452	22
999	22468	0
